CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
69	49037	64373	43.24	113410
70	56092	62128	47.45	118220
71	52830	66218	44.38	119048
72	55849	61930	47.42	117779
73	49910	64244	43.72	114154
74	52417	62749	45.51	115166
75	45040	64418	41.15	109458
76	48475	64702	42.83	113177
77	52006	60928	46.05	112934
78	54067	57968	48.26	112035
79	47848	60486	44.17	108334
80	52441	58559	47.24	111000
81	45326	60348	42.89	105674
82	50777	58453	46.49	109230
83	49100	60236	44.91	109336
84	51634	55953	47.99	107587
85	45636	58843	43.68	104479
86	49563	56615	46.68	106178
87	42931	57928	42.57	100859
88	48045	56058	46.15	104103
89	46154	58332	44.17	104486
90	47819	55473	46.29	103292
91	42932	57167	42.89	100099
92	47007	54862	46.14	101869
93	41321	55586	42.64	96907
94	44808	53820	45.43	98628
95	44090	55454	44.29	99544
96	45525	53392	46.02	98917
97	40281	54818	42.36	95099
98	43678	52591	45.37	96269
99	38150	54243	41.29	92393
100	42128	52240	44.64	94368
101	41465	54084	43.40	95549
102	42104	51298	45.08	93402
103	38294	52459	42.20	90753
104	41084	50473	44.87	91557
105	36502	51259	41.59	87761
106	39546	50010	44.16	89556
107	38891	52238	42.68	91129
108	40184	49309	44.90	89493
109	36285	50981	41.58	87266
110	38833	48803	44.31	87636
111	33843	50621	40.07	84464
112	37586	48920	43.45	86506
113	36697	49781	42.44	86478
114	37007	47684	43.70	84691
115	33999	48517	41.20	82516
116	36266	47053	43.53	83319
117	32229	47612	40.37	79841
118	35172	46290	43.18	81462
119	34261	47978	41.66	82239
120	34962	45332	43.54	80294
121	32713	46352	41.37	79065
122	34175	45734	42.77	79909
123	30196	46405	39.42	76601
124	32900	44276	42.63	77176
125	32516	45902	41.46	78418
126	32320	43688	42.52	76008
127	29804	45275	39.70	75079
128	31619	43538	42.07	75157
129	28609	44199	39.29	72808
130	30817	43080	41.70	73897
131	30557	43559	41.23	74116
132	30410	42123	41.93	72533
133	27984	43181	39.32	71165
134	29178	41625	41.21	70803
135	26111	41770	38.47	67881
136	28349	40801	41.00	69150
137	28166	41821	40.24	69987
138	28168	40218	41.19	68386
139	25574	41465	38.15	67039
140	26913	40219	40.09	67132
141	24186	40344	37.48	64530
142	26068	38661	40.27	64729
